TARGET_FLAG,AGE,HOME_VAL,OLDCLAIM,CAR_AGE,Doctor,Home Maker,Lawyer,Manager,Professional,Student,Panel Truck,Sports Car,Van,PCA_FACTOR
0.0,60.0,1.0,8.403128235128264,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.9721887092972602
0.0,43.0,12.457811428204463,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1257068728049928
0.0,35.0,11.729575982087773,10.563336447694557,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612868415221156
0.0,51.0,12.632160306141865,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0279216269373657
0.0,50.0,12.404616079976153,9.863550582932428,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8075599073829715
1.0,34.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.148708047324094
0.0,54.0,8.869825013303434,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10250279835852147
1.0,37.0,12.717937728870828,7.772331575169614,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7759219697108145
1.0,34.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0735679441002618
0.0,50.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.255477644902416
1.0,53.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.6348812495360994
0.0,43.0,12.254719942351697,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.341123090142831
0.0,55.0,12.102000188856977,8.522777569710138,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.9071422685324702
1.0,53.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.3053002950355532
1.0,45.0,11.57926548742942,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.619919938706584
0.0,39.0,12.105981555365126,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7062066441190349
0.0,42.0,12.166328195250545,1.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9137408473600999
0.0,34.0,11.428184236515136,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3593165650418904
0.0,31.0,11.44888815154042,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1994754292625465
1.0,28.0,12.047065190641572,9.097731427593526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4893099212449785
1.0,43.0,8.869825013303434,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.4043671871441368
0.0,48.0,12.552862896461527,9.017968479328726,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7463436742713174
0.0,47.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.783909567951967
0.0,44.0,11.318660873206394,8.11312710422178,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.619919938706584
0.0,33.0,12.328122122524118,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.785989993439711
1.0,32.0,11.679794917205262,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1426670428112455
0.0,44.0,12.298551548322436,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.9649004382440225
0.0,35.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5877863357783628
0.0,40.0,11.500620063113072,10.54867797155018,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08129585650557
0.0,49.0,12.004225703005044,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3746111229934295
0.0,52.0,12.3473117572229,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7594660521775245
0.0,41.0,12.564142116663707,7.266128779556451,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.32648246624149
0.0,39.0,12.220167839902716,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22008808271402536
0.0,56.0,11.063931577302242,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.619919938706584
0.0,49.0,12.650694362172858,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1058464055318176
0.0,38.0,11.840955019378985,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.681709087191568
0.0,43.0,12.945112940718177,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.547929117191473
0.0,63.0,12.746680347580632,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7276590276118595
0.0,52.0,11.384239457342186,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.619919938706584
0.0,35.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.258049674402118
0.0,43.0,12.508230683772409,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.7583346407919995
0.0,41.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25422724329334867
0.0,40.0,12.135746743094986,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.892614803940426
0.0,31.0,11.947904066850159,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.3693972256537286
0.0,47.0,1.0,8.000014093678073,8.32832309502026,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.2726376805087174
0.0,53.0,12.747524462837925,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7726479921230544
0.0,39.0,12.11933214094221,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.829949908897521
0.0,33.0,11.937500149812989,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.19923124997438
0.0,59.0,8.869825013303434,1.0,8.32832309502026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.986197110640148
1.0,40.0,1.0,10.169843838273156,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28095460215114865
1.0,44.0,11.806818211198724,8.966738978759576,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7215517001005707
0.0,56.0,12.012803380667716,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.091859355571779
1.0,45.0,12.187745728837287,10.235557255067516,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.541046711355707
0.0,48.0,12.440733616004698,7.348587530927593,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.3425467057163717e-14
1.0,44.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022507716538874817
1.0,33.0,11.238778051063257,8.974111581113318,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2480008050890312
0.0,32.0,11.896717397396898,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.4650730976107758
1.0,34.0,11.374054125890195,10.117267400897372,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.404086887037294
0.0,38.0,11.196693014979088,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10825434999909711
